	QID	label	geneID	proteinID	wikilink
297	Q18026233	GNAO1	2775	Q21149596	https://en.wikipedia.org/wiki/GNAO1
315	Q18026236	GNAQ	2776	Q21102036	https://en.wikipedia.org/wiki/GNAQ
316	Q18026236	GNAQ	2776	Q21149609	https://en.wikipedia.org/wiki/GNAQ
327	Q18026241	GNAT1	2779	Q21106178	https://en.wikipedia.org/wiki/GNAT1
333	Q18026244	GNAT2	2780	Q21103236	https://en.wikipedia.org/wiki/GNAT2
339	Q18026247	GNAZ	2781	Q21103234	https://en.wikipedia.org/wiki/GNAZ
345	Q18026249	GNB1	2782	Q21114559	https://en.wikipedia.org/wiki/GNB1
355	Q18026252	GNB2	2783	Q21114560	https://en.wikipedia.org/wiki/GNB2
356	Q18026252	GNB2	2783	Q21137424	https://en.wikipedia.org/wiki/GNB2
367	Q18026254	GNB3	2784	Q21113117	https://en.wikipedia.org/wiki/GNB3
368	Q18026254	GNB3	2784	Q21141801	https://en.wikipedia.org/wiki/GNB3
376	Q18026257	GNG3	2785	Q21118190	https://en.wikipedia.org/wiki/GNG3
381	Q18026260	GNG4	2786	Q21118185	https://en.wikipedia.org/wiki/GNG4
386	Q18026262	GNG5	2787	Q21132101	https://en.wikipedia.org/wiki/GNG5
392	Q18026265	GNG7	2788	Q21114103	https://en.wikipedia.org/wiki/GNG7
393	Q18026265	GNG7	2788	Q21118184	https://en.wikipedia.org/wiki/GNG7
401	Q18026274	GNG11	2791	Q21118188	https://en.wikipedia.org/wiki/GNG11
407	Q18026277	GNGT1	2792	Q21118189	https://en.wikipedia.org/wiki/GNGT1
413	Q18026280	GNGT2	2793	Q21118183	https://en.wikipedia.org/wiki/GNGT2
419	Q18026285	GNRH2	2797	Q21114637	https://en.wikipedia.org/wiki/GNRH2
423	Q18026288	GNS	2799	Q6951427	https://en.wikipedia.org/wiki/N-acetylglucosamine-6-sulfatase
424	Q18026288	GNS	2799	Q21137116	https://en.wikipedia.org/wiki/N-acetylglucosamine-6-sulfatase
435	Q18026291	GOLGA1	2800	Q21116827	https://en.wikipedia.org/wiki/GOLGA1
436	Q18026291	GOLGA1	2800	Q21137645	https://en.wikipedia.org/wiki/GOLGA1
445	Q18026294	GOLGA2	2801	Q21137479	https://en.wikipedia.org/wiki/GOLGA2
446	Q18026294	GOLGA2	2801	Q21172266	https://en.wikipedia.org/wiki/GOLGA2
452	Q18026296	GOLGA3	2802	Q21103249	https://en.wikipedia.org/wiki/GOLGA3
459	Q18026299	GOLGA4	2803	Q21105157	https://en.wikipedia.org/wiki/GOLGA4
460	Q18026299	GOLGA4	2803	Q21139072	https://en.wikipedia.org/wiki/GOLGA4
461	Q18026299	GOLGA4	2803	Q21150483	https://en.wikipedia.org/wiki/GOLGA4
472	Q18026302	GOLGB1	2804	Q21118934	https://en.wikipedia.org/wiki/Giantin
477	Q18026305	GOT1	2805	Q21132862	https://en.wikipedia.org/wiki/GOT1
480	Q18026307	GOT2	2806	Q21116246	https://en.wikipedia.org/wiki/GOT2
485	Q18026310	SFN	2810	Q21131010	https://en.wikipedia.org/wiki/Stratifin
490	Q18026313	GP1BA	2811	Q21118963	https://en.wikipedia.org/wiki/GP1BA
495	Q18026315	GP1BB	2812	Q21118964	https://en.wikipedia.org/wiki/GP1BB
500	Q18031514	SKIV2L	6499	Q21117657	https://en.wikipedia.org/wiki/SKIV2L
505	Q18031515	SKP1	6500	Q21149853	https://en.wikipedia.org/wiki/S-phase_kinase-associated_protein_1
510	Q18031516	SKP2	6502	Q21151769	https://en.wikipedia.org/wiki/SKP2
516	Q18031519	SLAMF1	6504	Q22678676	https://en.wikipedia.org/wiki/SLAMF1
521	Q18031520	SLC1A1	6505	Q11856447	https://en.wikipedia.org/wiki/Excitatory_amino_acid_transporter_3
522	Q18031520	SLC1A1	6505	Q21114341	https://en.wikipedia.org/wiki/Excitatory_amino_acid_transporter_3
529	Q18031521	SLC1A2	6506	Q21114338	https://en.wikipedia.org/wiki/Excitatory_amino_acid_transporter_2
534	Q18031522	SLC4A3	6508	Q21109524	https://en.wikipedia.org/wiki/Anion_exchange_protein_3
535	Q18031522	SLC4A3	6508	Q21149147	https://en.wikipedia.org/wiki/Anion_exchange_protein_3
540	Q18031523	SLC1A4	6509	Q21122755	https://en.wikipedia.org/wiki/Neutral_amino_acid_transporter_A
543	Q18031524	SLC1A5	6510	Q21116195	https://en.wikipedia.org/wiki/Neutral_amino_acid_transporter_B(0)
548	Q18031527	SLC2A5	6518	Q21149380	https://en.wikipedia.org/wiki/GLUT5
549	Q18031527	SLC2A5	6518	Q22677914	https://en.wikipedia.org/wiki/GLUT5
564	Q18031528	SLC3A2	6520	Q21115039	https://en.wikipedia.org/wiki/4F2_cell-surface_antigen_heavy_chain
565	Q18031528	SLC3A2	6520	Q21141800	https://en.wikipedia.org/wiki/4F2_cell-surface_antigen_heavy_chain
574	Q18031531	SLC4A2	6522	Q21109520	https://en.wikipedia.org/wiki/Anion_exchange_protein_2
581	Q18031532	SMTN	6525	Q21137495	https://en.wikipedia.org/wiki/SMTN
582	Q18031532	SMTN	6525	Q21174989	https://en.wikipedia.org/wiki/SMTN
589	Q18031533	SLC5A3	6526	Q21208052	https://en.wikipedia.org/wiki/Sodium/myo-inositol_cotransporter
591	Q18031534	SLC5A4	6527	Q22680028	https://en.wikipedia.org/wiki/SLC5A4
596	Q18031535	SLC6A1	6529	Q21121368	https://en.wikipedia.org/wiki/GABA_transporter_type_1
600	Q18031392	SCN1B	6324	Q21135442	https://en.wikipedia.org/wiki/SCN1B
603	Q18031396	SCN2B	6327	Q21135439	https://en.wikipedia.org/wiki/SCN2B
606	Q18031397	SCN3A	6328	Q21135449	https://en.wikipedia.org/wiki/SCN3A
609	Q18031399	SCN7A	6332	Q21135440	https://en.wikipedia.org/wiki/SCN7A
610	Q18031399	SCN7A	6332	Q21137413	https://en.wikipedia.org/wiki/SCN7A
615	Q18031400	SCN8A	6334	Q21135479	https://en.wikipedia.org/wiki/SCN8A
616	Q18031400	SCN8A	6334	Q21137871	https://en.wikipedia.org/wiki/SCN8A
619	Q18031401	SCN10A	6336	Q21126334	https://en.wikipedia.org/wiki/Nav1.8
623	Q18031402	SCNN1A	6337	Q21135430	https://en.wikipedia.org/wiki/SCNN1A
624	Q18031402	SCNN1A	6337	Q21151176	https://en.wikipedia.org/wiki/SCNN1A
629	Q18031403	SCNN1B	6338	Q21124819	https://en.wikipedia.org/wiki/SCNN1B
632	Q18031404	SCNN1D	6339	Q21100849	https://en.wikipedia.org/wiki/SCNN1D
633	Q18031404	SCNN1D	6339	Q21140580	https://en.wikipedia.org/wiki/SCNN1D
640	Q18031405	SCNN1G	6340	Q21135432	https://en.wikipedia.org/wiki/SCNN1G
644	Q18031407	SCO1	6341	Q21135429	https://en.wikipedia.org/wiki/SCO1
651	Q18031409	SCTR	6344	Q13566155	https://en.wikipedia.org/wiki/Secretin_receptor
652	Q18031409	SCTR	6344	Q21141494	https://en.wikipedia.org/wiki/Secretin_receptor
667	Q18031411	CCL3L1	6349	Q21114176	https://en.wikipedia.org/wiki/CCL3L1
670	Q18031419	CCL24	6369	Q21113917	https://en.wikipedia.org/wiki/C-C_motif_chemokine_ligand_24
675	Q18031425	SDC2	6383	Q21132959	https://en.wikipedia.org/wiki/Syndecan-2
676	Q18031425	SDC2	6383	Q21149839	https://en.wikipedia.org/wiki/Syndecan-2
686	Q18031426	SDC4	6385	Q21132683	https://en.wikipedia.org/wiki/Syndecan-4
694	Q18031427	SDCBP	6386	Q21131034	https://en.wikipedia.org/wiki/Syntenin-1
702	Q18031538	SLC6A6	6533	Q21121371	https://en.wikipedia.org/wiki/Sodium-_and_chloride-dependent_taurine_transporter
706	Q18031540	SLC6A8	6535	Q22678796	https://en.wikipedia.org/wiki/Sodium-_and_chloride-dependent_creatine_transporter_1
709	Q18031541	SLC6A9	6536	Q21121376	https://en.wikipedia.org/wiki/Sodium-_and_chloride-dependent_glycine_transporter_1
710	Q18031541	SLC6A9	6536	Q21140473	https://en.wikipedia.org/wiki/Sodium-_and_chloride-dependent_glycine_transporter_1
715	Q18031543	SLC6A12	6539	Q21125066	https://en.wikipedia.org/wiki/Sodium-_and_chloride-dependent_betaine_transporter
716	Q18031543	SLC6A12	6539	Q21148456	https://en.wikipedia.org/wiki/Sodium-_and_chloride-dependent_betaine_transporter
721	Q18031545	SLC7A1	6541	Q21109931	https://en.wikipedia.org/wiki/High_affinity_cationic_amino_acid_transporter_1
724	Q18031546	SLC7A2	6542	Q21109939	https://en.wikipedia.org/wiki/Cationic_amino_acid_transporter_2
727	Q18031548	SLC7A4	6545	Q21109930	https://en.wikipedia.org/wiki/Cationic_amino_acid_transporter_4
728	Q18031548	SLC7A4	6545	Q21149827	https://en.wikipedia.org/wiki/Cationic_amino_acid_transporter_4
735	Q18031551	SLC9A1	6548	Q21123415	https://en.wikipedia.org/wiki/Sodium%E2%80%93hydrogen_antiporter_1
736	Q18031551	SLC9A1	6548	Q21138805	https://en.wikipedia.org/wiki/Sodium%E2%80%93hydrogen_antiporter_1
741	Q18031552	SLC9A2	6549	Q21123425	https://en.wikipedia.org/wiki/Sodium%E2%80%93hydrogen_antiporter_2
744	Q18031553	SLC9A3	6550	Q21107999	https://en.wikipedia.org/wiki/Sodium%E2%80%93hydrogen_antiporter_3
748	Q18031555	SLC9A5	6553	Q21123416	https://en.wikipedia.org/wiki/Sodium/hydrogen_exchanger_5
751	Q18026318	GP2	2813	Q21118971	https://en.wikipedia.org/wiki/GP2_(gene)
752	Q18026318	GP2	2813	Q21150460	https://en.wikipedia.org/wiki/GP2_(gene)
757	Q18026321	GP5	2814	Q21119000	https://en.wikipedia.org/wiki/GP5_(gene)
761	Q18026323	GP9	2815	Q21118999	https://en.wikipedia.org/wiki/Glycoprotein_IX
765	Q18026326	GPC1	2817	Q21103189	https://en.wikipedia.org/wiki/Glypican_1
766	Q18026326	GPC1	2817	Q21139725	https://en.wikipedia.org/wiki/Glypican_1
772	Q18026329	GPD1	2819	Q21103186	https://en.wikipedia.org/wiki/Glycerol-3-phosphate_dehydrogenase_1
775	Q18026334	GPLD1	2822	Q22680009	https://en.wikipedia.org/wiki/GPLD1
778	Q18026340	GPM6B	2824	Q21108681	https://en.wikipedia.org/wiki/GPM6B
781	Q18026342	CMKLR2	2825	Q21137997	https://en.wikipedia.org/wiki/GPR1
782	Q18026342	CMKLR2	2825	Q21171761	https://en.wikipedia.org/wiki/GPR1
791	Q18026345	CCR10	2826	Q21111918	https://en.wikipedia.org/wiki/CCR10
793	Q18026347	GPR3	2827	Q21172741	https://en.wikipedia.org/wiki/GPR3
798	Q18026350	GPR4	2828	Q21171762	https://en.wikipedia.org/wiki/GPR4
802	Q18026353	GPR6	2830	Q21201581	https://en.wikipedia.org/wiki/GPR6
807	Q18026355	NPBWR1	2831	Q21118877	https://en.wikipedia.org/wiki/Neuropeptides_B/W_receptor_1
812	Q18026358	NPBWR2	2832	Q21116887	https://en.wikipedia.org/wiki/Neuropeptides_B/W_receptor_2
816	Q18026361	PRLHR	2834	Q7249544	https://en.wikipedia.org/wiki/Prolactin-releasing_peptide_receptor
822	Q18026364	GPR12	2835	Q21171763	https://en.wikipedia.org/wiki/GPR12
826	Q18026367	GPR15	2838	Q21110920	https://en.wikipedia.org/wiki/GPR15
831	Q18026370	GPR17	2840	Q21110921	https://en.wikipedia.org/wiki/GPR17
832	Q18026370	GPR17	2840	Q21143162	https://en.wikipedia.org/wiki/GPR17
841	Q18026372	GPR18	2841	Q21110922	https://en.wikipedia.org/wiki/NAGly_receptor
846	Q18031431	SEC13	6396	Q21119592	https://en.wikipedia.org/wiki/SEC13
850	Q18031432	SEC14L1	6397	Q21124425	https://en.wikipedia.org/wiki/SEC14L1
858	Q18031433	SECTM1	6398	Q21127153	https://en.wikipedia.org/wiki/SECTM1
859	Q18031433	SECTM1	6398	Q21150256	https://en.wikipedia.org/wiki/SECTM1
870	Q18031434	TRAPPC2	6399	Q21125448	https://en.wikipedia.org/wiki/TRAPPC2
871	Q18031434	TRAPPC2	6399	Q21171722	https://en.wikipedia.org/wiki/TRAPPC2
877	Q18031435	SEL1L	6400	Q21122058	https://en.wikipedia.org/wiki/SEL1L
883	Q18031436	SEMA3F	6405	Q21122783	https://en.wikipedia.org/wiki/SEMA3F
884	Q18031436	SEMA3F	6405	Q21141760	https://en.wikipedia.org/wiki/SEMA3F
891	Q18031437	SEMG1	6406	Q21122780	https://en.wikipedia.org/wiki/Semenogelin_I
895	Q18031438	SEMG2	6407	Q21122782	https://en.wikipedia.org/wiki/SEMG2
899	Q18031444	SELENOP	6414	Q22676904	https://en.wikipedia.org/wiki/SEPP1
905	Q18031445	SELENOW	6415	Q21133827	https://en.wikipedia.org/wiki/SEPW1
908	Q18031446	MAP2K4	6416	Q21104645	https://en.wikipedia.org/wiki/MAP2K4
910	Q18031447	SET	6418	Q7251444	https://en.wikipedia.org/wiki/Protein_SET
914	Q18031448	SETMAR	6419	Q21134401	https://en.wikipedia.org/wiki/SETMAR
917	Q18031450	SFRP1	6422	Q7444436	https://en.wikipedia.org/wiki/Secreted_frizzled-related_protein_1
921	Q18031451	SFRP2	6423	Q21159917	https://en.wikipedia.org/wiki/SFRP2
926	Q18031452	SFRP4	6424	Q21159914	https://en.wikipedia.org/wiki/SFRP4
932	Q18031453	SFRP5	6425	Q21159912	https://en.wikipedia.org/wiki/SFRP5
938	Q18031454	SRSF1	6426	Q21150465	https://en.wikipedia.org/wiki/Serine/arginine-rich_splicing_factor_1
939	Q18031454	SRSF1	6426	Q21172231	https://en.wikipedia.org/wiki/Serine/arginine-rich_splicing_factor_1
946	Q14905170	ACVR2A	92	Q4650906	https://en.wikipedia.org/wiki/ACVR2A
951	Q14905179	ACVR2B	93	Q4650908	https://en.wikipedia.org/wiki/ACVR2B
956	Q14905188	GRB2	2885	Q5514416	https://en.wikipedia.org/wiki/GRB2
957	Q14905188	GRB2	2885	Q21150466	https://en.wikipedia.org/wiki/GRB2
966	Q14905214	AQP3	360	Q9626712	https://en.wikipedia.org/wiki/Aquaporin_3
982	Q14905238	AQP1	358	Q2083074	https://en.wikipedia.org/wiki/Aquaporin_1
983	Q14905238	AQP1	358	Q21141685	https://en.wikipedia.org/wiki/Aquaporin_1
984	Q14905238	AQP1	358	Q21149578	https://en.wikipedia.org/wiki/Aquaporin_1
1000	Q14905263	HSPB1	3315	Q3141769	https://en.wikipedia.org/wiki/Hsp27
1003	Q14905267	TRHR	7201	Q6590463	https://en.wikipedia.org/wiki/Thyrotropin-releasing_hormone_receptor
1011	Q14905275	ARNT	405	Q4802695	https://en.wikipedia.org/wiki/Aryl_hydrocarbon_receptor_nuclear_translocator
1014	Q14905286	SLC1A7	6512	Q5419640	https://en.wikipedia.org/wiki/Excitatory_amino_acid_transporter_5
1017	Q14905292	SLC1A6	6511	Q5419638	https://en.wikipedia.org/wiki/Excitatory_amino_acid_transporter_4
1018	Q14905292	SLC1A6	6511	Q21117816	https://en.wikipedia.org/wiki/Excitatory_amino_acid_transporter_4
1019	Q14905292	SLC1A6	6511	Q21146457	https://en.wikipedia.org/wiki/Excitatory_amino_acid_transporter_4
1027	Q14905299	C6	729	Q5156406	https://en.wikipedia.org/wiki/Complement_component_6
1031	Q14905312	MASP1	5648	Q14905310	https://en.wikipedia.org/wiki/MASP1_(protein)
1032	Q14905312	MASP1	5648	Q21143923	https://en.wikipedia.org/wiki/MASP1_(protein)
1038	Q14905314	MASP2	10747	Q6714519	https://en.wikipedia.org/wiki/MASP2_(protein)
1041	Q14905329	C3AR1	719	Q5008167	https://en.wikipedia.org/wiki/C3a_receptor
1045	Q14905340	SLC12A3	6559	Q7553281	https://en.wikipedia.org/wiki/Sodium-chloride_symporter
1047	Q18028054	ITIH2	3698	Q21121468	https://en.wikipedia.org/wiki/ITIH2
1053	Q18028056	ITIH3	3699	Q21121473	https://en.wikipedia.org/wiki/ITIH3
1058	Q18028059	ITIH4	3700	Q21133646	https://en.wikipedia.org/wiki/ITIH4
1062	Q18028062	STT3A	3703	Q21119173	https://en.wikipedia.org/wiki/Stt3a,_catalytic_subunit_of_the_oligosaccharyltransferase_complex
1063	Q18028062	STT3A	3703	Q21143819	https://en.wikipedia.org/wiki/Stt3a,_catalytic_subunit_of_the_oligosaccharyltransferase_complex
1071	Q18028065	ITPA	3704	Q21107820	https://en.wikipedia.org/wiki/ITPA
1077	Q18028067	ITPK1	3705	Q22677260	https://en.wikipedia.org/wiki/ITPK1
1083	Q18028070	ITPKA	3706	Q21157992	https://en.wikipedia.org/wiki/ITPKA
1087	Q18028073	ITPR1	3708	Q21107812	https://en.wikipedia.org/wiki/ITPR1
1092	Q18028076	ITPR2	3709	Q21107799	https://en.wikipedia.org/wiki/ITPR2
1093	Q18028076	ITPR2	3709	Q21117891	https://en.wikipedia.org/wiki/ITPR2
1100	Q18028078	ITPR3	3710	Q21107806	https://en.wikipedia.org/wiki/ITPR3
1104	Q18028085	IVL	3713	Q6061378	https://en.wikipedia.org/wiki/Involucrin
1110	Q18028088	JAG2	3714	Q21101613	https://en.wikipedia.org/wiki/JAG2
1114	Q18028093	JARID2	3720	Q21116082	https://en.wikipedia.org/wiki/JARID2
1118	Q18028096	JUNB	3726	Q21116780	https://en.wikipedia.org/wiki/JUNB
1122	Q18028098	JUND	3727	Q21097231	https://en.wikipedia.org/wiki/JunD
1126	Q18028104	ANOS1	3730	Q22680174	https://en.wikipedia.org/wiki/ANOS1
1128	Q18028112	KARS1	3735	Q21130495	https://en.wikipedia.org/wiki/KARS_(gene)
1129	Q18028112	KARS1	3735	Q21151477	https://en.wikipedia.org/wiki/KARS_(gene)
1134	Q18028115	KCNA2	3737	Q21111879	https://en.wikipedia.org/wiki/KCNA2
1137	Q18028118	KCNA3	3738	Q21107874	https://en.wikipedia.org/wiki/KCNA3
1140	Q18028121	KCNA4	3739	Q21115808	https://en.wikipedia.org/wiki/KCNA4
1143	Q18028123	KCNA5	3741	Q21096394	https://en.wikipedia.org/wiki/KCNA5
1148	Q18031455	SRSF2	6427	Q21149890	https://en.wikipedia.org/wiki/SFRS2
1149	Q18031455	SRSF2	6427	Q21156241	https://en.wikipedia.org/wiki/SFRS2
1158	Q18031456	SRSF3	6428	Q21158196	https://en.wikipedia.org/wiki/SFRS3
1164	Q18031457	SRSF4	6429	Q21139552	https://en.wikipedia.org/wiki/SFRS4
1165	Q18031457	SRSF4	6429	Q21159590	https://en.wikipedia.org/wiki/SFRS4
1174	Q18031459	SRSF5	6430	Q21151825	https://en.wikipedia.org/wiki/SFRS5
1175	Q18031459	SRSF5	6430	Q21159593	https://en.wikipedia.org/wiki/SFRS5
1183	Q18031460	SRSF6	6431	Q21157677	https://en.wikipedia.org/wiki/SFRS6
1188	Q18031461	SRSF7	6432	Q21157680	https://en.wikipedia.org/wiki/SFRS7
1193	Q18031462	SFSWAP	6433	Q21133585	https://en.wikipedia.org/wiki/SFSWAP
1194	Q18031462	SFSWAP	6433	Q21150437	https://en.wikipedia.org/wiki/SFSWAP
1203	Q18031463	TRA2B	6434	Q21122214	https://en.wikipedia.org/wiki/TRA2B
1207	Q18031464	SGCA	6442	Q21121399	https://en.wikipedia.org/wiki/SGCA
1208	Q18031464	SGCA	6442	Q21144048	https://en.wikipedia.org/wiki/SGCA
1219	Q18031465	SGCB	6443	Q21121398	https://en.wikipedia.org/wiki/SGCB
1220	Q18031465	SGCB	6443	Q21137164	https://en.wikipedia.org/wiki/SGCB
1221	Q18031465	SGCB	6443	Q21143306	https://en.wikipedia.org/wiki/SGCB
1231	Q18031467	SGCG	6445	Q21096300	https://en.wikipedia.org/wiki/SGCG
1238	Q18031469	SGK1	6446	Q21127180	https://en.wikipedia.org/wiki/SGK1
1239	Q18031469	SGK1	6446	Q21139619	https://en.wikipedia.org/wiki/SGK1
1246	Q14864175	KRT14	3861	Q6393589	https://en.wikipedia.org/wiki/Keratin_14
1249	Q14888579	ADORA1	134	Q3062781	https://en.wikipedia.org/wiki/Adenosine_A1_receptor
1260	Q14888946	HSPA8	3312	Q5635988	https://en.wikipedia.org/wiki/HSPA8
1261	Q14888946	HSPA8	3312	Q21149667	https://en.wikipedia.org/wiki/HSPA8
1264	Q14889263	FABP4	2167	Q14889244	https://en.wikipedia.org/wiki/Adipocyte_protein_2
1270	Q14889334	FGF1	2246	Q5425464	https://en.wikipedia.org/wiki/FGF1
1271	Q14889334	FGF1	2246	Q21145266	https://en.wikipedia.org/wiki/FGF1
1279	Q14889529	FGF3	2248	Q5425477	https://en.wikipedia.org/wiki/FGF3
1285	Q14889532	IL7	3574	Q2665532	https://en.wikipedia.org/wiki/Interleukin_7
1298	Q14889545	ALOX5AP	241	Q4639667	https://en.wikipedia.org/wiki/5-lipoxygenase-activating_protein
1301	Q14890024	AVPR1A	552	Q4789584	https://en.wikipedia.org/wiki/Vasopressin_receptor_1A
1306	Q14890030	AVPR1B	553	Q4789587	https://en.wikipedia.org/wiki/Vasopressin_receptor_1B
1311	Q14890035	AVPR2	554	Q4789588	https://en.wikipedia.org/wiki/Vasopressin_receptor_2
1315	Q14890118	IRF6	3664	Q5973476	https://en.wikipedia.org/wiki/IRF6
1322	Q14890615	APOB	338	Q648343	https://en.wikipedia.org/wiki/Apolipoprotein_B
1335	Q14891424	HTR2A	3356	Q1949517	https://en.wikipedia.org/wiki/5-HT2A_receptor
1345	Q14891586	TRPV6	55503	Q14891582	https://en.wikipedia.org/wiki/TRPV6
1351	Q18031470	SCG5	6447	Q21115115	https://en.wikipedia.org/wiki/SCG5
1357	Q18031471	SGTA	6449	Q21111240	https://en.wikipedia.org/wiki/SGTA
1363	Q18031472	SH3BGR	6450	Q21135537	https://en.wikipedia.org/wiki/SH3BGR
1364	Q18031472	SH3BGR	6450	Q21139853	https://en.wikipedia.org/wiki/SH3BGR
1372	Q18031473	SH3BGRL	6451	Q21135532	https://en.wikipedia.org/wiki/SH3BGRL
1379	Q18031475	ITSN1	6453	Q21115614	https://en.wikipedia.org/wiki/Intersectin_1
